date,game_id,player_name,pts,reb,ast,pra,mp
2025-11-10,202511100PHO,DeAndre Jordan,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100PHO,Yves Missi,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100PHO,Grayson Allen,42.0,2.0,4.0,48.0,27:31
2025-11-10,202511100PHO,Devin Booker,19.0,0.0,3.0,22.0,26:35
2025-11-10,202511100PHO,Dillon Brooks,18.0,5.0,0.0,23.0,25:37
2025-11-10,202511100PHO,Royce O'Neale,14.0,5.0,2.0,21.0,23:06
2025-11-10,202511100PHO,Mark Williams,2.0,7.0,1.0,10.0,20:14
2025-11-10,202511100PHO,Ryan Dunn,2.0,4.0,3.0,9.0,23:34
2025-11-10,202511100PHO,Jordan Goodwin,4.0,5.0,4.0,13.0,23:08
2025-11-10,202511100PHO,Oso Ighodaro,2.0,5.0,4.0,11.0,19:10
2025-11-10,202511100PHO,Collin Gillespie,6.0,1.0,5.0,12.0,13:23
2025-11-10,202511100PHO,Isaiah Livers,3.0,1.0,2.0,6.0,11:15
2025-11-10,202511100PHO,Rasheer Fleming,5.0,0.0,0.0,5.0,8:40
2025-11-10,202511100PHO,Nick Richards,2.0,5.0,1.0,8.0,8:23
2025-11-10,202511100PHO,Nigel Hayes-Davis,2.0,1.0,0.0,3.0,4:56
2025-11-10,202511100PHO,Khaman Maluach,0.0,2.0,0.0,2.0,4:28
2025-11-10,202511100UTA,Anthony Edwards,35.0,6.0,6.0,47.0,38:00
2025-11-10,202511100UTA,Donte DiVincenzo,14.0,1.0,2.0,17.0,37:28
2025-11-10,202511100UTA,Jaden McDaniels,16.0,6.0,3.0,25.0,34:49
2025-11-10,202511100UTA,Julius Randle,27.0,8.0,7.0,42.0,34:08
2025-11-10,202511100UTA,Rudy Gobert,14.0,12.0,1.0,27.0,33:35
2025-11-10,202511100UTA,Naz Reid,7.0,5.0,3.0,15.0,28:02
2025-11-10,202511100UTA,Mike Conley,5.0,2.0,2.0,9.0,17:33
2025-11-10,202511100UTA,Jaylen Clark,2.0,1.0,0.0,3.0,12:35
2025-11-10,202511100UTA,Rob Dillingham,0.0,1.0,1.0,2.0,3:50
2025-11-10,202511100UTA,Joan Beringer,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100UTA,Bones Hyland,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100UTA,Joe Ingles,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100UTA,Johnny Juzang,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100UTA,Leonard Miller,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100UTA,Keyonte George,27.0,6.0,6.0,39.0,36:03
2025-11-10,202511100UTA,Lauri Markkanen,21.0,8.0,3.0,32.0,34:47
2025-11-10,202511100UTA,Svi Mykhailiuk,11.0,3.0,2.0,16.0,28:20
2025-11-10,202511100UTA,Ace Bailey,10.0,7.0,2.0,19.0,27:32
